leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
MTL000019,committee member,2011-2012,,upper,mt,,MTC000003,Energy and Telecommunications,,,
MTL000019,committee member,2011-2012,,upper,mt,,MTC000009,"Business, Labor, and Economic Affairs",,,
MTL000019,committee member,2011-2012,,upper,mt,,MTC000014,Natural Resources,,,
MTL000020,member,2013-2014,32,upper,mt,Democratic,,,,,
MTL000020,committee member,2013-2014,,upper,mt,,MTC000012,Fish and Game,,,
MTL000020,committee member,2013-2014,,upper,mt,,MTC000013,Judiciary,,,
MTL000020,committee member,2013-2014,,upper,mt,,MTC000016,Rules,,,
MTL000020,committee member,2013-2014,,upper,mt,,MTC000008,State Administration,,,
MTL000020,committee member,2013-2014,,joint,mt,,MTC000059,Joint Appropriations/Finance & Claims,Joint Select Committee on Pensions,,
MTL000020,committee member,2013-2014,,joint,mt,,MTC000062,Joint Appropriations/Finance & Claims,Pensions,,
MTL000020,member,2011-2012,32,upper,mt,Democratic,,,,,
MTL000020,committee member,2011-2012,,upper,mt,,MTC000008,State Administration,,,
MTL000020,committee member,2011-2012,,upper,mt,,MTC000012,Fish and Game,,,
MTL000020,committee member,2011-2012,,upper,mt,,MTC000013,Judiciary,,,
MTL000020,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000022,member,2013-2014,41,upper,mt,Democratic,,,,,
MTL000022,committee member,2013-2014,,upper,mt,,MTC000003,Energy and Telecommunications,,,
MTL000022,committee member,2013-2014,,upper,mt,,MTC000015,Legislative Administration,,,
MTL000022,committee member,2013-2014,,upper,mt,,MTC000058,Natural Resources,,,
MTL000022,committee member,2013-2014,,upper,mt,,MTC000017,Taxation,,,
MTL000022,member,2011-2012,41,upper,mt,Democratic,,,,,
MTL000022,committee member,2011-2012,,upper,mt,,MTC000014,Natural Resources,,,
MTL000022,committee member,2011-2012,,upper,mt,,MTC000017,Taxation,,,
MTL000022,member,2015-2016,40,upper,mt,Democratic,,,,,
MTL000022,committee member,2015-2016,,upper,mt,,MTC000005,Highways and Transportation,,,
MTL000022,committee member,2015-2016,,upper,mt,,MTC000071,Natural Resources,,,
MTL000022,committee member,2015-2016,,upper,mt,,MTC000017,Taxation,,,
MTL000023,committee member,2017-2018,,lower,mt,,MTC000026,Appropriations,,,
MTL000023,member,2013-2014,38,upper,mt,Democratic,,,,,
MTL000023,committee member,2013-2014,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000023,committee member,2013-2014,,upper,mt,,MTC000005,Highways and Transportation,,,
