leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MTL000083,Bill Harris,Bill,,Harris,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/12493.jpg,2012-03-08 02:14:27.142000,2017-01-10 07:15:06.256000
MTL000084,Gordon Hendrick,Gordon,,Hendrick,,,False,mt,,,,/images/legislators_62nd/3841.jpg,2012-03-08 02:14:27.150000,2013-01-09 19:39:40.534000
MTL000085,Ellie Boldman Hill,Ellie Boldman,,Hill,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/12457.jpg,2012-03-08 02:14:27.158000,2017-01-10 07:15:06.272000
MTL000086,Cynthia Hiner,Cynthia,,Hiner,,,False,mt,,,,/images/legislators_62nd/3862.jpg,2012-03-08 02:14:27.170000,2013-01-09 19:39:40.518000
MTL000087,Roy Hollandsworth,Roy,,Hollandsworth,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13678.jpg,2012-03-08 02:14:27.192000,2017-01-10 07:15:06.292000
MTL000088,Galen Hollenbaugh,Galen,,Hollenbaugh,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13419.jpg,2012-03-08 02:14:27.200000,2015-01-05 17:32:32.127000
MTL000091,Chuck Hunter,Chuck,,Hunter,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13680.jpg,2012-03-08 02:14:27.237000,2017-01-10 07:15:06.262000
MTL000092,Pat Ingraham,Pat,,Ingraham,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13791.jpg,2012-03-08 02:14:27.246000,2015-01-05 17:32:32.036000
MTL000094,Dan Kennedy,Dan,,Kennedy,,,False,mt,,,,/images/legislators_62nd/7882.jpg,2012-03-08 02:14:27.340000,2013-01-09 19:39:40.538000
MTL000095,Krayton Kerns,Krayton,,Kerns,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13763.jpg,2012-03-08 02:14:27.348000,2015-01-05 17:32:32.098000
MTL000096,Harry Klock,Harry,,Klock,,,False,mt,,,,/images/legislators_62nd/3707.jpg,2012-03-08 02:14:27.356000,2013-01-09 19:39:40.539000
MTL000097,James Knox,James,,Knox,,,False,mt,,,,/images/legislators_62nd/8082.jpg,2012-03-08 02:14:27.370000,2013-01-09 19:39:40.540000
MTL000100,Cleve Loney,Cleve,,Loney,,,False,mt,,,,/images/legislators_62nd/8074.jpg,2012-03-08 02:14:27.393000,2013-01-09 19:39:40.541000
MTL000101,Margie MacDonald,Margaret,,MacDonald,,Margie,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13682.jpg,2012-03-08 02:14:27.401000,2017-01-10 07:15:06.280000
MTL000102,Gary MacLaren,Gary,,MacLaren,,,False,mt,,,,/images/legislators_62nd/3863.jpg,2012-03-08 02:14:27.414000,2013-01-09 19:39:40.543000
MTL000104,Bill McChesney,Bill,,McChesney,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13798.jpg,2012-03-08 02:14:27.431000,2015-01-05 17:32:32.073000
MTL000105,Edith McClafferty,Edith,,McClafferty,,Edie,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/12784.jpg,2012-03-08 02:14:27.456000,2016-05-12 08:06:52.210000
MTL000106,Tom McGillvray,Tom,,McGillvray,,,False,mt,,,,/images/legislators_62nd/3851.jpg,2012-03-08 02:14:27.464000,2013-01-09 19:39:40.546000
MTL000108,Jonathan McNiven,Jonathan,,McNiven,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/12604.jpg,2012-03-08 02:14:27.497000,2015-01-05 17:32:32.076000
MTL000109,Walter McNutt,Walter,,McNutt,,,False,mt,,,,/images/legislators_62nd/0134.jpg,2012-03-08 02:14:27.507000,2013-01-09 19:39:40.520000
MTL000110,Robert Mehlhoff,Robert,,Mehlhoff,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13684.jpg,2012-03-08 02:14:27.533000,2017-01-10 07:15:06.291000
MTL000111,Mike Menahan,Mike,,Menahan,,,False,mt,,,,/images/legislators_62nd/6475.jpg,2012-03-08 02:14:27.542000,2013-01-09 19:39:40.549000
MTL000112,Mike Milburn,Mike,,Milburn,,,False,mt,,,,/images/legislators_62nd/3842.jpg,2012-03-08 02:14:27.550000,2013-01-09 19:39:40.550000
MTL000113,Mike Miller,Mike,,Miller,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13686.jpg,2012-03-08 02:14:27.558000,2017-01-10 07:15:06.284000
MTL000114,Michael More,Michael,,More,,,False,mt,,,,/images/legislators_62nd/6477.jpg,2012-03-08 02:14:27.566000,2013-01-09 19:39:40.551000
MTL000115,Pat Noonan,Pat,,Noonan,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/12766.jpg,2012-03-08 02:14:27.581000,2017-01-10 07:15:06.289000
MTL000116,Jesse O'Hara,Jesse,,O'Hara,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13792.jpg,2012-03-08 02:14:27.591000,2015-01-05 17:32:32.040000
MTL000117,Jerry O'Neil,Jerry,,O'Neil,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/12555.jpg,2012-03-08 02:14:27.601000,2015-01-05 17:32:32.057000
MTL000118,Ryan Osmundson,Ryan,,Osmundson,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/12599.jpg,2012-03-08 02:14:27.609000,2017-06-01 09:07:06.348000
MTL000119,Carolyn Pease-Lopez,Carolyn,,Pease-Lopez,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13688.jpg,2012-03-08 02:14:27.618000,2017-01-10 07:15:06.258000
MTL000120,Ken Peterson,Ken,,Peterson,,,False,mt,,,,/images/legislators_62nd/5152.jpg,2012-03-08 02:14:27.625000,2013-01-09 19:39:40.556000
MTL000123,Lee Randall,Lee,,Randall,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/12767.jpg,2012-03-08 02:14:27.656000,2017-01-10 07:15:06.279000
MTL000124,Joe Read,Joe,,Read,,,False,mt,,,,/images/legislators_62nd/8069.jpg,2012-03-08 02:14:27.682000,2013-01-09 19:39:40.558000
MTL000125,Keith Regier,Keith,,Regier,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13689.jpg,2012-03-08 02:14:27.691000,2017-01-10 07:15:06.278000
MTL000126,Scott Reichner,Scott,,Reichner,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13690.jpg,2012-03-08 02:14:27.700000,2015-01-05 17:32:32.158000
MTL000127,Michele Reinhart,Michele,,Reinhart,,,False,mt,,,,/images/legislators_62nd/5158.jpg,2012-03-08 02:14:27.725000,2013-01-09 19:39:40.559000
MTL000128,Don Roberts,Don,,Roberts,,,False,mt,,,,/images/legislators_62nd/6481.jpg,2012-03-08 02:14:27.733000,2013-01-09 19:39:40.521000
MTL000129,Matthew Rosendale,Matthew,,Rosendale,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/12602.jpg,2012-03-08 02:14:27.741000,2017-01-10 07:15:06.317000
MTL000130,Daniel Salomon,Daniel,,Salomon,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/12559.jpg,2012-03-08 02:14:27.750000,2017-01-10 07:15:06.265000
MTL000132,Trudi Schmidt,Trudi,,Schmidt,,,False,mt,,,,/images/legislators_62nd/2654.jpg,2012-03-08 02:14:27.807000,2013-01-09 19:39:40.522000
MTL000134,Dan Skattum,Dan,,Skattum,,,False,mt,,,,/images/legislators_62nd/8143.jpg,2012-03-08 02:14:27.845000,2013-01-09 19:39:40.562000
MTL000135,Derek Skees,Derek,,Skees,,,False,mt,,,,/images/legislators_62nd/8065.jpg,2012-03-08 02:14:27.861000,2013-01-09 19:39:40.563000
MTL000136,Sterling Small,Sterling,,Small,,,False,mt,,,,/images/legislators_62nd/8080.jpg,2012-03-08 02:14:27.879000,2013-01-09 19:39:40.565000
MTL000138,Frank Smith,Frank,,Smith,,,False,mt,,,,/images/legislators_62nd/7879.jpg,2012-03-08 02:14:27.923000,2013-01-03 15:15:56.365000
MTL000139,Carolyn Squires,Carolyn,,Squires,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/12904.jpg,2012-03-08 02:14:27.931000,2015-01-05 17:32:32.168000
MTL000140,Wayne Stahl,Wayne,,Stahl,,,False,mt,,,,/images/legislators_62nd/3846.jpg,2012-03-08 02:14:27.955000,2013-01-09 19:39:40.566000
MTL000142,Janna Taylor,Janna,,Taylor,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/12984.jpg,2012-03-08 02:14:27.993000,2017-01-10 07:15:06.310000
MTL000144,Bob Wagner,Bob,,Wagner,,,False,mt,,,,/images/legislators_62nd/6487.jpg,2012-03-08 02:14:28.010000,2013-01-09 19:39:40.568000
MTL000145,Wendy Warburton,Wendy,,Warburton,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13698.jpg,2012-03-08 02:14:28.019000,2015-01-05 17:32:32.063000
MTL000146,Ted Washburn,Ted,,Washburn,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13699.jpg,2012-03-08 02:14:28.034000,2015-01-05 17:32:32.113000
MTL000147,Jeffrey Welborn,Jeffrey,,Welborn,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13700.jpg,2012-03-08 02:14:28.053000,2017-01-10 07:15:06.274000
MTL000148,Kathleen Williams,Kathleen,,Williams,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/12612.jpg,2012-03-08 02:14:28.071000,2017-01-10 07:15:06.276000
MTL000149,Franke Wilmer,Franke,,Wilmer,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13803.jpg,2012-03-08 02:14:28.081000,2015-01-05 17:32:32.105000
MTL000150,Max Yates,Max,,Yates,,,False,mt,,,,/images/legislators_62nd/8091.jpg,2012-03-08 02:14:28.089000,2013-01-09 19:39:40.570000
MTL000158,Scott Boulanger,Scott,,Boulanger,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/15373.jpg,2013-01-09 19:39:39.151000,2015-01-05 17:32:32.218000
MTL000163,Greg Jergeson,Greg,,Jergeson,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/14885.jpg,2013-01-09 19:39:39.239000,2015-01-05 17:32:32.181000
MTL000176,Clarena Brockie,Clarena,,Brockie,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/15140.jpg,2013-01-09 19:39:39.511000,2015-01-05 17:32:32.059000
MTL000177,"Forrestina ""Frosty"" Calf Boss Ribs",Forrestina,,Calf Boss Ribs,,Frosty,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/15311.jpg,2013-01-09 19:39:39.524000,2015-01-05 17:32:32.037000
